端一東平 dung 東
定一東平 dhung 同
知三東平 dyung 中
澄三東平 dhyung 蟲
章三東平 jung 終
徹三東平 tyung 忡
崇三東平 jrung 崇
心三東平 siung 嵩
日三東平 rung 戎
見三東平 ciung 弓
以三東平 yung 融
云三東平 yung 雄
明三東平 vung 瞢
溪三東平 kiung 穹
羣三東平 giung 窮
並三東平 fvung 馮
幫三東平 fung 風
滂三東平 fung 豐
昌三東平 chung 充
來三東平 liung 隆
溪一東平 kung 空
見一東平 cung 公
明一東平 mung 蒙
來一東平 lung 籠
匣一東平 hung 洪
從一東平 dzung 叢
影一東平 ung 翁
清一東平 tsung 悤
透一東平 tung 通
精一東平 zung 葼
並一東平 bhung 蓬
曉一東平 xung 烘
疑一東平 qung 㟅
心一東平 sung 𣞷
端一冬平 dong 冬
定一冬平 dhong 彤
從一冬平 dzong 賨
泥一冬平 nong 農
見一冬平 cong 攻
匣一冬平 hong 䃔
來一冬平 long 䃧
精一冬平 zong 宗
心一冬平 song 鬆
透一冬平 tong 炵
章三鍾平 jong 鍾
來三鍾平 liong 龍
書三鍾平 shong 舂
邪三鍾平 sziong 松
昌三鍾平 chong 𧘂
以三鍾平 yong 容
幫三鍾平 fong 封
曉三鍾平 xiong 胷
疑三鍾平 qiong 顒
影三鍾平 iong 邕
孃三鍾平 niong 醲
澄三鍾平 dhyong 重
從三鍾平 dziong 從
徹三鍾平 tyong 蹱
並三鍾平 fvong 逢
滂三鍾平 fong 峯
精三鍾平 ziong 縱
日三鍾平 rong 茸
羣三鍾平 giong 蛩
常三鍾平 zhong 鱅
見三鍾平 cong 恭
心三鍾平 siong 蜙
清三鍾平 tsiong 樅
溪三鍾平 kong 銎
見二江平 ceang 江
明二江平 mang 厖
孃二江平 nong 𦗳
初二江平 truang 囪
幫二江平 bang 邦
匣二江平 heang 栙
滂二江平 pang 胮
來二江平 long 瀧
生二江平 sruang 雙
並二江平 bhang 龐
曉二江平 xeang 肛
影二江平 eang 胦
溪二江平 keang 腔
澄二江平 dhyuang 幢
徹二江平 tyuang 憃
知二江平 dyuang 樁
疑二江平 qeang 㟅
崇二江平 jruang 淙
章開三支平 ji 支
以開三支平 yi 移
云合三支平 wui 爲
見合三B支平 cui 嬀
曉合三B支平 xui 𪎮
影合三B支平 ui 逶
明三B支平 mi 糜
曉合三A支平 xui 隓
澄合三支平 dhyui 鬌
常合三支平 zhui 𡍮
來合三支平 lui 羸
昌合三支平 chui 吹
滂三B支平 pi 鈹
幫三B支平 bi 陂
邪合三支平 szui 隨
溪合三B支平 kui 虧
溪合三A支平 kui 闚
羣開三B支平 gi 奇
羣開三A支平 gi 祇
曉開三B支平 xi 犧
溪開三B支平 ki 㩻
疑開三B支平 qi 宜
並三B支平 bhi 皮
常開三支平 zhi 提
日開三支平 ri 兒
來開三支平 li 離
從開三支平 dzi 疵
精開三支平 zi 貲
見開三B支平 ci 羈
幫三A支平 bi 卑
並三A支平 bhi 陴
書開三支平 shi 䌳
心開三支平 si 斯
初開三支平 tri 差
徹開三支平 tyi 摛
明三A支平 mi 彌
清開三支平 tsi 雌
知開三支平 dyi 知
影開三B支平 i 漪
澄開三支平 dhyi 馳
心合三支平 sui 眭
疑合三B支平 qui 危
曉開三A支平 xi 詑
生開三支平 sri 釃
生合三支平 srui 䪎
日合三支平 rui 痿
見合三A支平 cui 𩓸
精合三支平 zui 劑
初合三支平 trui 衰
知合三支平 dyui 腄
昌開三支平 chi 眵
莊開三支平 dri 齜
滂三A支平 pi 𤿎
以合三支平 wui 䔺
崇開三支平 jri 齹
章開三脂平 ji 脂
以開三脂平 yi 姨
生開三脂平 sri 師
並三A脂平 bhi 𣬈
精開三脂平 zi 咨
見開三B脂平 ci 飢
昌開三脂平 chi 鴟
徹開三脂平 tyi 絺
清開三脂平 tsi 郪
從開三脂平 dzi 茨
孃開三脂平 ni 尼
澄開三脂平 dhyi 墀
心開三脂平 si 私
書開三脂平 shi 尸
羣開三A脂平 gi 鬐
影開三A脂平 i 伊
來開三脂平 li 棃
羣合三A脂平 gui 葵
知合三脂平 dyui 追
見合三B脂平 cui 龜
日合三脂平 rui 蕤
生合三脂平 srui 衰
以合三脂平 wui 惟
來合三脂平 lui 㶟
心合三脂平 sui 綏
羣合三B脂平 gui 逵
明三B脂平 mui 眉
幫三B脂平 bi 悲
章合三脂平 jui 錐
常合三脂平 zhui 誰
云合三脂平 wui 帷
並三B脂平 bhi 邳
滂三B脂平 pi 丕
曉合三A脂平 xui 倠
澄合三脂平 dhyui 鎚
昌合三脂平 chui 推
知開三脂平 dyi 胝
滂三A脂平 pi 紕
精合三脂平 zui 嶉
溪合三B脂平 kui 巋
疑開三B脂平 qi 狋
曉開三A脂平 xi 咦
章開三之平 ji 之
以開三之平 yi 飴
常開三之平 zhi 時
疑開三之平 qi 疑
心開三之平 si 思
初開三之平 tri 輜
羣開三之平 gi 其
書開三之平 shi 詩
日開三之平 ri 而
溪開三之平 ki 欺
見開三之平 ci 姬
邪開三之平 szi 詞
來開三之平 li 釐
莊開三之平 dri 菑
曉開三之平 xi 僖
影開三之平 i 醫
徹開三之平 tyi 癡
澄開三之平 dhyi 治
昌開三之平 chi 蚩
從開三之平 dzi 慈
精開三之平 zi 兹
崇開三之平 jri 茬
俟開三之平 zri 漦
明三微平 vui 微
曉合三微平 xui 揮
云合三微平 wui 幃
滂三微平 fui 霏
幫三微平 fui 猆
並三微平 fvui 肥
影合三微平 ui 威
羣開三微平 gi 祈
見開三微平 ci 機
曉開三微平 xi 希
影開三微平 i 依
疑開三微平 qi 沂
疑合三微平 qui 巍
見合三微平 cui 歸
溪合三微平 kui 蘬
疑開三魚平 qiu 魚
初開三魚平 tru 初
書開三魚平 shu 書
見開三魚平 ciu 居
羣開三魚平 giu 渠
以開三魚平 yu 余
心開三魚平 siu 胥
清開三魚平 tsiu 疽
崇開三魚平 jru 鉏
徹開三魚平 tyu 攄
生開三魚平 sru 疏
曉開三魚平 xiu 虛
邪開三魚平 sziu 徐
影開三魚平 iu 於
知開三魚平 dyu 豬
來開三魚平 liu 臚
章開三魚平 ju 諸
澄開三魚平 dhyu 除
日開三魚平 ru 如
精開三魚平 ziu 且
溪開三魚平 kiu 虛
莊開三魚平 dru 菹
常開三魚平 zhu 蜍
孃開三魚平 niu 袽
疑三虞平 qiu 虞
初三虞平 tru 芻
明三虞平 vu 無
云三虞平 yu 于
曉三虞平 xiu 訏
羣三虞平 giu 衢
日三虞平 ru 儒
心三虞平 siu 須
知三虞平 dyu 株
徹三虞平 tyu 貙
常三虞平 zhu 殊
以三虞平 yu 逾
溪三虞平 kiu 區
章三虞平 ju 朱
清三虞平 tsiu 趨
來三虞平 liu 慺
並三虞平 fvu 扶
崇三虞平 jru 䅳
莊三虞平 dreu 㑳
滂三虞平 fu 敷
精三虞平 ziu 諏
幫三虞平 fu 跗
影三虞平 iu 紆
書三虞平 shu 輸
昌三虞平 chu 樞
澄三虞平 dhyu 廚
見三虞平 ciu 拘
生三虞平 sru 毹
明一模平 mu 模
並一模平 bhu 酺
匣一模平 hu 胡
見一模平 cu 孤
定一模平 dhu 徒
泥一模平 nu 奴
曉一模平 xu 呼
疑一模平 qu 吾
精一模平 zu 租
來一模平 lu 盧
心一模平 su 蘇
從一模平 dzu 徂
影一模平 u 烏
幫一模平 bu 逋
溪一模平 ku 枯
清一模平 tsu 麤
透一模平 tu 㻌
端一模平 du 都
滂一模平 pu 𥠵
從開四齊平 dzei 齊
來開四齊平 lei 黎
清開四齊平 tsei 妻
端開四齊平 dei 低
定開四齊平 dhei 嗁
幫四齊平 bei 豍
見開四齊平 cei 雞
匣開四齊平 hei 奚
影開四齊平 ei 鷖
疑開四齊平 qei 倪
曉開四齊平 xei 醯
心開四齊平 sei 西
透開四齊平 tei 梯
並四齊平 bhei 鼙
滂四齊平 pei 磇
精開四齊平 zei 齎
明四齊平 mei 迷
泥開四齊平 nei 泥
溪開四齊平 kei 谿
見合四齊平 cuei 圭
溪合四齊平 kuei 睽
匣合四齊平 huei 攜
日開四齊平 rei 臡
常開四齊平 zhei 栘
影合四齊平 uei 烓
曉合四齊平 xuei 睳
見開二佳平 ceai 佳
匣開二佳平 heai 㥟
並二佳平 bhai 牌
見合二佳平 cua 媧
影合二佳平 ua 蛙
溪合二佳平 kua 咼
崇開二佳平 jrai 柴
初開二佳平 trai 釵
曉合二佳平 xua 竵
孃開二佳平 nai 䍲
疑開二佳平 qeai 崖
影開二佳平 eai 娃
生開二佳平 srai 崽
曉開二佳平 xeai 㗨
徹開二佳平 tyai 扠
明二佳平 mai 䁲
匣合二佳平 hua 鼃
見開二皆平 ceai 皆
影開二皆平 eai 𢰇
匣開二皆平 heai 諧
並二皆平 bhai 排
見合二皆平 cuai 乖
匣合二皆平 huai 懷
溪合二皆平 kuai 匯
崇開二皆平 jrai 豺
初開二皆平 trai 差
曉合二皆平 xuai 虺
澄合二皆平 dhyuai 尵
明二皆平 mai 埋
莊開二皆平 drai 齋
影合二皆平 uai 崴
知開二皆平 dyai 𪘨
來開二皆平 lai 唻
溪開二皆平 keai 揩
孃開二皆平 nai 搱
生開二皆平 srai 崽
疑開二皆平 qeai 𩂢
徹開二皆平 tyai 搋
曉開二皆平 xeai 俙
來合二皆平 luai 䐯
崇合二皆平 jruai 膗
曉合一灰平 xuei 灰
溪合一灰平 kuei 恢
影合一灰平 uei 隈
匣合一灰平 huei 回
明一灰平 muei 枚
見合一灰平 cuei 傀
來合一灰平 lui 雷
定合一灰平 dhui 穨
清合一灰平 tsui 崔
端合一灰平 dui 磓
心合一灰平 sui 𤗯
從合一灰平 dzui 摧
並一灰平 bhuei 裴
幫一灰平 buei 桮
滂一灰平 puei 肧
疑合一灰平 quei 鮠
透合一灰平 tui 𨌴
泥合一灰平 nui 𢆃
精合一灰平 zui 嗺
曉開一咍平 xai 咍
溪開一咍平 kai 開
影開一咍平 ai 哀
定開一咍平 dhai 臺
見開一咍平 cai 該
從開一咍平 dzai 裁
來開一咍平 lai 來
精開一咍平 zai 烖
清開一咍平 tsai 猜
透開一咍平 tai 胎
匣開一咍平 hai 孩
心開一咍平 sai 鰓
疑開一咍平 qai 皚
泥開一咍平 nai 能
端開一咍平 dai 𪒴
昌開一咍平 chai 㹗
章開三眞平 jen 真
徹開三眞平 tyen 𤣆
影開三A眞平 in 因
心開三眞平 sin 新
常開三眞平 zhen 辰
日開三眞平 ren 仁
船開三眞平 djen 神
清開三眞平 tsin 親
云開三眞平 yin 礥
書開三眞平 shen 申
幫三A眞平 bin 賓
來開三眞平 lin 㷠
羣開三B眞平 gin 𥎊
知開三眞平 dyen 珍
澄開三眞平 dhyen 陳
精開三眞平 zin 津
昌開三眞平 chen 瞋
從開三眞平 dzin 秦
以開三眞平 yin 寅
孃開三眞平 nin 紉
滂三A眞平 pin 繽
